😀;1f600;grinning
😁;1f601;grinning-smiling-eyes
😂;1f602;joy
🤣;1f923;rolling-on-the-floor-laughing
😃;1f603;open-mouth
😄;1f604;smile
😅;1f605;sweat-smile
😆;1f606;laughing
😉;1f609;winking
😊;1f60a;smiling-eyes
😋;1f60b;yum
😎;1f60e;sunglasses
😍;1f60d;heart-eyes
😘;1f618;kissing-heart
😗;1f617;kissing
😙;1f619;kissing-smiling-eyes
😚;1f61a;kissing-closed-eyes
☺;263a;smiling
🙂;1f642;slightly-smiling
🤗;1f917;hugging
🤔;1f914;thinking
😐;1f610;neutral
😑;1f611;expressionless
😶;1f636;no-mouth
🙄;1f644;rolling-eyes
😏;1f60f;smirking
😣;1f623;persevering
😥;1f625;disappointed-but-relieved
😮;1f62e;open-mouth
🤐;1f910;zipper-mouth
😯;1f62f;hushed
😪;1f62a;sleepy
😫;1f62b;tired
😴;1f634;sleeping
😌;1f60c;relieved
🤓;1f913;nerd
😛;1f61b;stuck-out-tongue
😜;1f61c;stuck-out-tongue-winking-eye
😝;1f61d;stuck-out-tongue-closed-eye
🤤;1f924;drooling
😒;1f612;unamused
😓;1f613;sweat
😔;1f614;pensive
😕;1f615;confused
🙃;1f643;upside-down
🤑;1f911;money-mouth
😲;1f632;astonished
☹;2639;frowning
🙁;1f641;slightly-frowning
😖;1f616;confounded
😞;1f61e;disappointed
😟;1f61f;worried
😤;1f624;steam-from-nose
😢;1f622;crying
😭;1f62d;loudly-crying
😦;1f626;frowning-open-mouth
😧;1f627;anguished
😨;1f628;fearful
😩;1f629;weary
😬;1f62c;grimacing
😰;1f630;sweat-smile
😱;1f631;fear
😳;1f633;flushed
😵;1f635;dizzy-face
😡;1f621;pouting
😠;1f620;angry
😇;1f607;halo
🤠;1f920;cowboy-hat
🤡;1f921;clown
🤥;1f925;lying
😷;1f637;medical-mask
🤒;1f912;face-with-thermometer
🤕;1f915;head-bandage
🤢;1f922;nauseated
🤧;1f927;sneezing
😈;1f608;horns
👿;1f47f;imp
👹;1f479;ogre
👺;1f47a;goblin
💀;1f480;skull
☠;2620;skull-and-crossbones
👻;1f47b;ghost
👽;1f47d;alien
👾;1f47e;alien-monster
🤖;1f916;robot
💩;1f4a9;pile-of-poo
😺;1f63a;smiling-cat-open-mouth
😸;1f638;grinning-cat-smiling-eyes
😹;1f639;cat-joy
😻;1f63b;smiling-cat-heart-eyes
😼;1f63c;cat-wry-smile
😽;1f63d;kissing-cat-closed-eyes
🙀;1f640;weary-cat
😿;1f63f;crying-cat
😾;1f63e;pouting-cat
🙈;1f648;see-no-evil
🙉;1f649;hear-no-evil
🙊;1f64a;speak-no-evil
👦;1f466;boy
👧;1f467;girl
👨;1f468;man
👩;1f469;woman
👴;1f474;old-man
👵;1f475;old-woman
👶;1f476;baby
👼;1f47c;baby-angel
👱;1f471;person-with-blond-hair
👮;1f46e;police-officer
👲;1f472;man-with-chinese-cap
👳;1f473;man-with-turban
👷;1f477;construction-worker
👸;1f478;princess
🤴;1f934;prince
💂;1f482;guardsman
🕵;1f575;detective
🎅;1f385;santa-claus
🤶;1f936;mother-christmas
👰;1f470;bride-with-veil
🤵;1f935;man-in-tuxedo
💆;1f486;face-massage
💇;1f487;haircut
🙍;1f64d;person-frowning
🙎;1f64e;person-pouting
🙅;1f645;gesturing-no
🙆;1f646;gesturing-ok
💁;1f481;information-desk-person
🤷;1f937;shrug
🙋;1f64b;happy-person-raising-hand
🤦;1f926;face-palm
🙇;1f647;person-bowing
🚶;1f6b6;pedestrian
🏃;1f3c3;runner
💃;1f483;dancer
🕺;1f57a;man-dancing
🤰;1f930;pregnant-woman
👯;1f46f;women-partying
🕴;1f574;man-in-business-suit-levitating
🗣;1f5e3;speaking-head
👤;1f464;bust-in-silhouette
👥;1f465;busts-in-silhouette
👫;1f46b;man-and-woman-holding-hands
👬;1f46c;two-men-holding-hands
👭;1f46d;two-women-holding-hands
💏;1f48f;kiss
👩‍❤‍💋‍👨;1f469-200d-2764-200d-1f48b-200d-1f468;woman-man
👨‍❤‍💋‍👨;1f468-200d-2764-200d-1f48b-200d-1f468;man-man
👩‍❤‍💋‍👩;1f469-200d-2764-200d-1f48b-200d-1f469;woman-woman
💑;1f491;couple-with-heart
👩‍❤‍👨;1f469-200d-2764-200d-1f468;woman-man
👨‍❤‍👨;1f468-200d-2764-200d-1f468;man-man
👩‍❤‍👩;1f469-200d-2764-200d-1f469;woman-woman
👪;1f46a;family
👨‍👩‍👦;1f468-200d-1f469-200d-1f466;man-woman-boy
👨‍👩‍👧;1f468-200d-1f469-200d-1f467;man-woman-girl
👨‍👩‍👧‍👦;1f468-200d-1f469-200d-1f467-200d-1f466;man-woman-girl-boy
👨‍👩‍👦‍👦;1f468-200d-1f469-200d-1f466-200d-1f466;man-woman-boy-boy
👨‍👩‍👧‍👧;1f468-200d-1f469-200d-1f467-200d-1f467;man-woman-girl-girl
👨‍👨‍👦;1f468-200d-1f468-200d-1f466;man-man-boy
👨‍👨‍👧;1f468-200d-1f468-200d-1f467;man-man-girl
👨‍👨‍👧‍👦;1f468-200d-1f468-200d-1f467-200d-1f466;man-man-girl-boy
👨‍👨‍👦‍👦;1f468-200d-1f468-200d-1f466-200d-1f466;man-man-boy-boy
👨‍👨‍👧‍👧;1f468-200d-1f468-200d-1f467-200d-1f467;man-man-girl-girl
👩‍👩‍👦;1f469-200d-1f469-200d-1f466;woman-woman-boy
👩‍👩‍👧;1f469-200d-1f469-200d-1f467;woman-woman-girl
👩‍👩‍👧‍👦;1f469-200d-1f469-200d-1f467-200d-1f466;woman-woman-girl-boy
👩‍👩‍👦‍👦;1f469-200d-1f469-200d-1f466-200d-1f466;woman-woman-boy-boy
👩‍👩‍👧‍👧;1f469-200d-1f469-200d-1f467-200d-1f467;woman-woman-girl-girl
🏻;1f3fb;skin-type-1-2
🏼;1f3fc;skin-type-3
🏽;1f3fd;skin-type-4
🏾;1f3fe;skin-type-5
🏿;1f3ff;skin-type-6
💪;1f4aa;flexed-biceps
🤳;1f933;selfie
👈;1f448;backhand-index-pointing-left
👉;1f449;backhand-index-pointing-right
☝;261d;index-pointing-up
👆;1f446;backhand-index-pointing-up
🖕;1f595;middle-finger
👇;1f447;backhand-index-pointing-down
✌;270c;victory-hand
🤞;1f91e;hand-with-index-and-middle-fingers-crossed
🖖;1f596;vulcan-salute
🤘;1f918;sign-of-the-horns
🤙;1f919;call-me-hand
🖐;1f590;raised-hand-with-fingers-splayed
✋;270b;raised-hand
👌;1f44c;ok-hand
👍;1f44d;thumbs-up
